OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
5124,Vehicles,Hard,Multiple Choice,What engine is in the Lexus SC400?,1UZ-FE,2JZ-GTE,7M-GTE,5M-GE
5125,Entertainment: Video Games,Easy,Multiple Choice,"In what year was the game ""Fallout"" released?",1997,1998,1999,1996
5126,Science: Computers,Hard,Multiple Choice,What is the maximum value of a 32-bit signed binary integer?,"2,147,483,647",255,2048,"9,223,372,036,854,775,807"
5127,Sports,Medium,Multiple Choice,How many French Open's did Björn Borg win?,6,4,9,2
5128,General Knowledge,Easy,Multiple Choice,What is the largest living species of penguin?,Emperor,King,Gentoo,Adele
5129,Science: Gadgets,Medium,Multiple Choice,Which company manufactured the iconic TR-808 drum machine?,Roland,Technics,Korg,Casio
5130,Entertainment: Video Games,Hard,True / False,Danganronpa 2: Goodbye Despair featured all of the surviving students from the first game.,False,True,,
5131,Entertainment: Video Games,Easy,True / False,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",True,False,,
5132,Entertainment: Video Games,Medium,Multiple Choice,"What is the name of the common, gun-toting enemies of the ""Oddworld"" video game series?",Sligs,Scrabs,Slogs,Glukkons
5133,Entertainment: Video Games,Hard,Multiple Choice,"In Xenoblade Chronicles X, which class has a sniper rifle as it's primary weapon?",Partisan Eagle,Blast Fencer,Winged Viper,Bastion Warrior
5134,Geography,Medium,Multiple Choice,In which country is located the municipality of Arteijo?,Spain,Morocco,France,Belgium
5135,Entertainment: Music,Medium,Multiple Choice,How many semitones are in an octave?,12,7,11,14
5136,Celebrities,Hard,Multiple Choice,Who was Donald Trump's first wife?,Ivana Zelníčková,Melania Knauss,Marla Maples,Nancy Davis
5137,Entertainment: Television,Easy,Multiple Choice,Who is the star of the AMC series Breaking Bad?,Walter White,Saul Goodman,Jesse Pinkman,Skyler White
5138,Entertainment: Board Games,Medium,Multiple Choice,"In Chess, the Queen has the combined movement of which two pieces?",Bishop and Rook,Rook and King,Knight and Bishop,King and Knight
5139,Entertainment: Video Games,Medium,Multiple Choice,"What is the name of the virus in ""Metal Gear Solid 1""?",FOXDIE,FOXENGINE,FOXALIVE,FOXKILL
5140,Entertainment: Video Games,Easy,Multiple Choice,Who was the voice actor for Snake in Metal Gear Solid V: The Phantom Pain?,Kiefer Sutherland,David Hayter,Norman Reedus,Hideo Kojima
5141,Politics,Medium,Multiple Choice,Which city is the seat of government of the Netherlands?,The Hague,Amsterdam,Utrecht,Rotterdam
5142,Entertainment: Television,Easy,Multiple Choice,"In the show, Doctor Who, what does T.A.R.D.I.S stand for?",Time And Relative Dimensions In Space,Time And Resting Dimensions In Space,Time And Relative Dimensions In Style,Toilet Aid Rope Dog Is Soup
5143,Science & Nature,Hard,Multiple Choice,The Western Lowland Gorilla is scientifically know as?,Gorilla Gorilla Gorilla,Gorilla Gorilla Diehli,Gorilla Beringei Graueri,Gorilla Beringei Beringei
5144,Entertainment: Video Games,Hard,Multiple Choice,"In ""Magicka"", which two elements are combined to cast the spell, ""Nullify""?",Arcane + Shield,Lightning + Shield,Lightning + Life,Arcane + Life
5145,Entertainment: Video Games,Hard,Multiple Choice,"In ""Call Of Duty: Zombies"", which weapon does NOT deal any damage?",31-79 JGb215,Sliquifier,V-R11,Wunderwaffe DG-2
5146,Entertainment: Video Games,Hard,Multiple Choice,The creeper in Minecraft was the result of a bug while implementing which creature?,Pig,Zombie,Chicken,Cow
5147,General Knowledge,Medium,Multiple Choice,"Who is the founder of ""The Lego Group""?",Ole Kirk Christiansen, Jens Niels Christiansen,Kirstine Christiansen, Gerhardt Kirk Christiansen
5148,Mythology,Easy,True / False,"In the Greek Mythology, the Gorgon can turn those who behold her to stone.",True,False,,
5149,Entertainment: Video Games,Medium,Multiple Choice,Who is the half-demon character in Divinity: Original Sin 2 who you talk to to transition between acts?,Malady,Meister Siva,Gawin,Exter
5150,History,Easy,Multiple Choice,How long did World War II last?,6 years,4 years,5 years,7 years
5151,Animals,Hard,Multiple Choice,Chronic Wasting Disease (CWD) exclusively infects members of which family of animals?,Cervids,Hominids,Felids,Canids
5152,Entertainment: Video Games,Medium,Multiple Choice,What was the first interactive movie video game?,Astron Belt,Dragon's Lair,Cube Quest,M.A.C.H. 3
5153,Entertainment: Music,Easy,Multiple Choice,"What was the subject of the 2014 song ""CoCo"" by American rapper O. T. Genasis?",Cocaine,Conan O'Brien,Cobalt(II) carbonate,Coconut cream pie
5154,Geography,Hard,Multiple Choice,The Suez Canal is located in which African country?,Egypt,Libya,Ghana,Nigeria
5155,Science: Computers,Hard,Multiple Choice,"According to DeMorgan's Theorem, the Boolean expression (AB)' is equivalent to:",A' + B',A'B + B'A,A'B',AB' + AB
5156,Animals,Hard,Multiple Choice,"Unlike on most salamanders, this part of a newt is flat?",Tail,Head,Teeth,Feet
5157,Entertainment: Video Games,Medium,Multiple Choice,Which of these is NOT the name of a team leader in Pokémon GO?,Leif,Blanche,Spark,Candela
5158,Entertainment: Television,Hard,Multiple Choice,"In ""Star Trek"", what sauce is commonly used by Klingons on bregit lung?",Grapok sauce,Gazorpazorp pudding,Sweet chili sauce,Grapork sauce
5159,Science: Mathematics,Medium,Multiple Choice,What Greek letter is used to signify summation?,Sigma,Delta,Alpha,Omega
5160,Entertainment: Music,Medium,Multiple Choice,What is the name of the 2016 studio album by the French electronic music duo Justice?,Woman,Randy,Safe and Sound,Pleasure
5161,Entertainment: Books,Medium,Multiple Choice,Which of the following is not a work authored by Fyodor Dostoevsky?,Anna Karenina,Notes from the Underground,Crime and Punishment,The Brothers Karamazov
5162,Science & Nature,Medium,Multiple Choice,What stage of development do the majority of eukaryotic cells remain in for most of their life?,Interphase,Prophase,Stasis,Telophase
5163,Science & Nature,Medium,Multiple Choice,"What polymer is used to make CDs, safety goggles and riot shields?",Polycarbonate,Rubber,Nylon,Bakelite
5164,Entertainment: Film,Medium,Multiple Choice,"In Back to the Future Part II, Marty and Dr. Emmett Brown go to which future date?","October 21, 2015","August 28, 2015","July 20, 2015","January 25, 2015"
5165,Entertainment: Video Games,Medium,Multiple Choice,What is the original name of Final Fantasy XV?,Final Fantasy Versus XIII,Final Fantasy: Reborn,Final Fantasy XVI,Final Fantasy XIII-3
5166,Science: Mathematics,Hard,True / False,L'Hôpital was the mathematician who created the homonymous rule that uses derivatives to evaluate limits with indeterminations.,False,True,,
5167,Sports,Hard,Multiple Choice,Who scored the injury time winning goal in the 1999 UEFA Champions League final between Manchester United and Bayern Munich?,Ole Gunnar Solskjær,Dwight Yorke,Andy Cole,David Beckham
5168,History,Medium,Multiple Choice,When did Norway get its constitution?,1814,1932,1905,1854
5169,Entertainment: Comics,Medium,Multiple Choice,"In Black Hammer, what dimension does Colonel Weird travel through?",Para-Zone,Hyperspace,Mirror Universe,Phantom Zone
5170,Entertainment: Video Games,Medium,Multiple Choice,"What is the name of the currency in the ""Animal Crossing"" series?",Bells,Sea Shells,Leaves,Bugs
5171,Vehicles,Hard,Multiple Choice,What model was the sports car gifted to Yuri Gagarin by the French government in 1965?,Matra Djet,Porsche 911,Alpine A110,AC Cobra
5172,Entertainment: Cartoon & Animations,Medium,Multiple Choice,What is Scooby-Doo's real name?,Scoobert,Scooter,Scrappy,Shooby
5173,Entertainment: Music,Medium,Multiple Choice,Who sung the opening theme song to the 1995 James Bond film 'Goldeneye'?,Tina Turner,Shirley Bassey,Sheryl Crow,Madonna
5174,Animals,Hard,Multiple Choice,"To which biological phylum do all mammals, birds and reptiles belong?",Chordata,Echinodermata,Annelida,Placazoa
5175,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In ""One Piece"", what does ""the Pirate King"" mean to the captain of the Straw Hat Pirates?",Freedom,Promise,Adventure,Friendship
5176,History,Hard,Multiple Choice,Which of these theoretical phycisists first predicted the existence of antimatter?,Paul Dirac,Niels Bohr,Albert Einstein,Werner Heisenberg
5177,General Knowledge,Medium,Multiple Choice,"The phrase ""accident waiting to happen"" is an example of what type of figure of speech?",Idiom,Simile,Metaphor,Analogy
5178,Entertainment: Video Games,Hard,True / False,"In the game Nuclear Throne, the boss ""Big Dog"" was made into a character on April Fool's Day 2015.",True,False,,
5179,Entertainment: Video Games,Medium,Multiple Choice,"In the game Tom Clancy's Rainbow 6 Siege, what organization is Valkyrie from?",Navy Seals,S.A.S,G.I.G.N,F.B.I
5180,Entertainment: Music,Medium,Multiple Choice,"Which singer was featured in Swedish producer Avicii's song ""Wake Me Up""?",Aloe Blacc,John Legend,CeeLo Green,Pharrell Williams
5181,Entertainment: Film,Medium,Multiple Choice,"In the film ""Requiem for a Dream"", what drug does Jared Leto's character get addicted to?",Heroin,Cocaine,Marijuana,Oxycodone
5182,Entertainment: Video Games,Easy,Multiple Choice,Which of these is NOT a playable character in the 2016 video game Overwatch?,Invoker,Mercy,Winston,Zenyatta
5183,Entertainment: Video Games,Medium,Multiple Choice,"In Terraria, what does the Wall of Flesh not drop upon defeat?",Picksaw,Pwnhammer,Breaker Blade,Laser Rifle
5184,Animals,Easy,True / False,Elephants are physically unable to jump.,True,False,,
5185,Sports,Medium,Multiple Choice,Who was the British professional wrestler Shirley Crabtree better known as?,Big Daddy,Giant Haystacks,Kendo Nagasaki,Masambula
5186,Entertainment: Music,Medium,Multiple Choice,"Which band had hits in 1972 with the songs ""Baby I'm A Want You"", ""Everything I Own"" and ""The Guitar Man""",Bread,America,Chicago,Smokie
5187,Entertainment: Video Games,Medium,Multiple Choice,"During the game's development, what was the first ever created Pokémon?",Rhyhorn,Bulbasaur,Mew,Arceus
5188,General Knowledge,Easy,Multiple Choice,What is the name of the Jewish New Year?,Rosh Hashanah,Elul,New Year,Succoss
5189,Geography,Easy,Multiple Choice,"Which European city is known as the ""City of Light""?",Paris,Rome,London,Madrid
5190,Geography,Hard,Multiple Choice,Into which basin does the Jordan River flow into?,Dead Sea,Aral Sea,Caspian Sea,Salton Sea
5191,Entertainment: Comics,Medium,Multiple Choice,"What is the name of the comic about a young boy, and a tiger who is actually a stuffed animal?",Calvin and Hobbes,Winnie the Pooh,Albert and Pogo,Peanuts
5192,Entertainment: Music,Easy,Multiple Choice,Who is the lead singer of Pearl Jam?,Eddie Vedder,Ozzy Osbourne,Stone Gossard,Kurt Cobain
5193,Entertainment: Video Games,Medium,True / False,Mortal Kombat was almost based on Jean-Claude Van Damme movie.,True,False,,
5194,Entertainment: Video Games,Easy,Multiple Choice,"Which of these is not a wonder weapon in ""Call Of Duty: Zombies""?",R115 Resonator,GKZ-45 Mk3,Ray Gun,Scavenger
5195,Entertainment: Music,Easy,Multiple Choice,Which of these songs by Skrillex features Fatman Scoop as a side artist?,Recess,All is Fair in Love and Brostep,Rock N Roll (Will Take You to the Mountain),Scary Monsters and Nice Sprites
5196,Entertainment: Music,Medium,Multiple Choice,What was Britney Spears' debut single?,...Baby One More Time,Oops!... I Did It Again,(You Drive Me) Crazy,Toxic
5197,Entertainment: Video Games,Easy,Multiple Choice,What does Solid Snake use to hide himself with?,Cardboard Box,Cloaking Device,Metal Crate,Cardboard cut-out
5198,Entertainment: Video Games,Medium,Multiple Choice,"In Call of Duty: Modern Warfare 2, how many consecutive kills does it require to earn the ""Tactical Nuke"" killstreak?",25,20,30,35
5199,Entertainment: Video Games,Medium,Multiple Choice,"In PROTOTYPE 2, which of the following abilities/weapons is NOT obtained by an Evolved?",Tendrils,Blade,Bio-Bomb,Pack Leader
5200,History,Medium,Multiple Choice,Which of the following countries was the first to send an object into space?,Germany,USA,Russia,China
5201,Entertainment: Books,Hard,Multiple Choice,Abel Magwitch is a character from which Charles Dickens novel?,Great Expectations,The Pickwick Papers,Nicholas Nickleby,Oliver Twist
5202,Entertainment: Video Games,Medium,Multiple Choice,"How many zombies need to be killed to get the ""Zombie Genocider"" achievement in Dead Rising (2006)?","53,594","53,593","53,595","53,596"
5203,Entertainment: Music,Medium,Multiple Choice,"Which city is the American singer ""Pitbull"" from?",Miami,Kodiak,St. Louis,Boston
5204,Entertainment: Video Games,Hard,Multiple Choice,"Which game in the ""Dark Souls"" series does the player play as the ""Ashen One""?",Dark Souls III,Dark Souls I,Bloodborne,Demon Souls
5205,Entertainment: Music,Easy,Multiple Choice,Who wrote the Sinead O`Connor hit 'Nothing Compares 2 U'?,Prince,Michael Jackson,Cameo,Rick James
5206,Entertainment: Film,Easy,True / False,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,True,False,,
5207,Entertainment: Video Games,Medium,Multiple Choice,"In Dota 2, what is Earthshaker's real name?",Raigor Stonehoof,Banehallow Ambry,Carl,Barathrum
5208,Science & Nature,Hard,True / False,The value of one Calorie is different than the value of one calorie.,True,False,,
5209,Geography,Medium,Multiple Choice,The following Spanish provinces are located in the northern area of Spain except:,Murcia,Asturias,Navarre,León
5210,Science: Mathematics,Hard,Multiple Choice,Integration is the reverse of what mathematical operation?,Derivation,Division,Standard Deviation,Multiplication
5211,Entertainment: Music,Easy,Multiple Choice,"Who released the song ""Photograph"" in 2005?",Nickelback,Fall Out Boy,Coldplay,Green Day
5212,Entertainment: Video Games,Medium,Multiple Choice,"In ""PAYDAY 2"", what weapon has the highest base weapon damage on a per-shot basis?",HRL-7,Heavy Crossbow,Thanatos .50 cal,Broomstick Pistol
5213,Entertainment: Music,Medium,True / False,Soulja Boy's 'Crank That' won a Grammy for Best Rap Song in 2007.,False,True,,
5214,General Knowledge,Easy,Multiple Choice,"In blood typing, the (+) and (-) marker after an A, B, AB, or O is called Rh factor. Which of the following is the source of its discovery?",Rhesus Monkeys,Rheumatism Patients,Red-Haired People,Rhizomes
5215,Entertainment: Video Games,Medium,Multiple Choice,"Who was the mascot of SEGA before ""Sonic the Hedgehog""?",Alex Kidd,Opa Opa,NiGHTS,Ristar
